Date,time,open,close,price,volume,valueChange,percentageChange
15-11-2021,11:57:19,1782.1,1780.2,1793.95,1939762,11.85,0.66494585
15-11-2021,11:57:19,1782.1,1780.2,1793.95,1939762,11.85,0.66494585
15-11-2021,11:58:08,1782.1,1780.2,1793.95,1946977,11.85,0.66494585
15-11-2021,11:58:08,1782.1,1780.2,1793.95,1946977,11.85,0.66494585
15-11-2021,11:59:25,1782.1,1780.2,1793.95,1951778,12.1,0.681779923
15-11-2021,12:00:20,1782.1,1780.2,1794.25,1952581,12.15,0.681779923
15-11-2021,12:03:16,1782.1,1780.2,1795,1962432,12.9,0.723865103
15-11-2021,12:05:17,1782.1,1780.2,1794.1,1967902,12,0.673362886
15-11-2021,12:07:52,1782.1,1780.2,1794,1978659,11.9,0.667751529
15-11-2021,12:12:23,1782.1,1780.2,1797.1,2024593,15,0.841703608
15-11-2021,12:12:44,1782.1,1780.2,1796.3,2029284,14.2,0.796812749
15-11-2021,12:15:34,1782.1,1780.2,1795.55,2143123,13.45,0.754727569
15-11-2021,12:18:08,1782.1,1780.2,1794.75,2162638,12.65,0.70983671
15-11-2021,12:35:00,1782.1,1780.2,1797.4,2241502,15.3,0.85853768
15-11-2021,12:38:53,1782.1,1780.2,1797,2368255,14.9,0.836092251
15-11-2021,12:40:25,1782.1,1780.2,1796.9,2373430,14.8,0.830480893
15-11-2021,12:40:48,1782.1,1780.2,1796.65,2374830,14.55,0.8164525
15-11-2021,12:48:42,1782.1,1780.2,1796.9,2412765,14.8,0.830480893
15-11-2021,12:48:48,1782.1,1780.2,1796.85,2414256,14.75,0.827675215
15-11-2021,13:04:38,1782.1,1780.2,1797.7,2479606,15.6,0.875371752
15-11-2021,13:06:24,1782.1,1780.2,1797.3,2490218,15.2,0.852926323
15-11-2021,13:10:46,1782.1,1780.2,1798.8,2515030,16.7,0.937096684
15-11-2021,13:13:07,1782.1,1780.2,1795.5,2554015,13.4,0.75192189
15-11-2021,13:18:30,1782.1,1780.2,1796.95,2611047,14.85,0.833286572
15-11-2021,13:20:21,1782.1,1780.2,1798.4,2725469,16.3,0.914651254
15-11-2021,13:21:57,1782.1,1780.2,1798.85,2743094,16.75,0.939902362
15-11-2021,13:24:55,1782.1,1780.2,1828.1,1814,16.86,0.945674
15-11-2021,13:26:41,1782.1,1780.2,1799.2,2778569,17.1,0.959542113
15-11-2021,13:27:01,1782.1,1780.2,1799.35,2785798,17.25,0.967959149
15-11-2021,13:28:13,1782.1,1780.2,1797.55,2794261,15.45,0.866954716
15-11-2021,13:29:49,1782.1,1780.2,1798,2800437,15.9,0.892205825
15-11-2021,13:30:15,1782.1,1780.2,1798.3,2801482,16.2,0.909039897
15-11-2021,13:30:28,1782.1,1780.2,1798.15,2802044,16.05,0.900622861
15-11-2021,13:31:14,1782.1,1780.2,1798.85,2805884,16.75,0.939902362
15-11-2021,13:31:23,1782.1,1780.2,1798.75,2806800,16.65,0.934291005
15-11-2021,13:31:30,1782.1,1780.2,1798.3,2807622,16.2,0.909039897
15-11-2021,13:32:00,1782.1,1780.2,1798.25,2809865,16.15,0.906234218
15-11-2021,13:32:56,1782.1,1780.2,1799.2,2816380,17.1,0.959542113
15-11-2021,13:33:07,1782.1,1780.2,1799.25,2817720,17.15,0.962347792
15-11-2021,13:33:58,1782.1,1780.2,1799.55,2848911,17.45,0.979181864
15-11-2021,13:34:33,1782.1,1780.2,1798.75,2851762,16.65,0.934291005
15-11-2021,13:35:03,1782.1,1780.2,1799.35,2853724,17.25,0.967959149
15-11-2021,13:37:10,1782.1,1780.2,1799.45,2863530,17.35,0.973570507
15-11-2021,13:38:09,1782.1,1780.2,1799.95,2874075,17.85,1.001627294
15-11-2021,13:39:02,1782.1,1780.2,1799.9,2883843,17.8,0.998821615
15-11-2021,13:40:01,1782.1,1780.2,1799.9,2889246,17.8,0.998821615
15-11-2021,13:41:38,1782.1,1780.2,1799.6,2898175,17.5,0.981987543
15-11-2021,13:42:44,1782.1,1780.2,1799.8,2903182,17.7,0.993210258
15-11-2021,13:43:07,1782.1,1780.2,1799.8,2905419,17.7,0.993210258
15-11-2021,13:44:18,1782.1,1780.2,1799.8,2915134,17.7,0.993210258
15-11-2021,13:46:11,1782.1,1780.2,1799.9,2926042,17.8,0.998821615
15-11-2021,13:47:46,1782.1,1780.2,1798.5,2935422,16.4,0.920262612
15-11-2021,13:51:41,1782.1,1780.2,1798.9,2975898,16.8,0.942708041
